Milho | INDICADOR DO MILHO ESALQ/BM&FBOVESPA;;
Nota;à vista por saca de 60 kg, descontado o Prazo de Pagamento pela taxa CDI/CETIP.;
Fonte;Cepea;
Data;À vista R$;À vista US$
02/01/2026;69,45;12,81
05/01/2026;69,38;12,84
06/01/2026;69,13;12,85
07/01/2026;69,00;12,80
08/01/2026;68,94;12,79
09/01/2026;69,02;12,86
12/01/2026;68,84;12,82
13/01/2026;68,79;12,79
14/01/2026;68,43;12,68
15/01/2026;68,37;12,75
16/01/2026;68,41;12,73
19/01/2026;68,12;12,70
20/01/2026;67,46;12,54
21/01/2026;67,04;12,60
22/01/2026;66,72;12,63
23/01/2026;66,63;12,60
26/01/2026;66,69;12,63
27/01/2026;66,22;12,72
28/01/2026;65,87;12,63
29/01/2026;65,96;12,70
30/01/2026;66,10;12,59
02/02/2026;66,17;12,59
03/02/2026;66,28;12,65
04/02/2026;66,44;12,63
05/02/2026;66,49;12,66
06/02/2026;66,78;12,79
09/02/2026;67,09;12,93
10/02/2026;67,06;12,89
11/02/2026;67,21;12,96
12/02/2026;67,67;13,01
13/02/2026;68,14;13,04
18/02/2026;68,39;13,04
19/02/2026;68,80;13,17
20/02/2026;68,74;13,27
23/02/2026;69,02;13,36
24/02/2026;69,14;13,41
25/02/2026;69,28;13,51
26/02/2026;69,28;13,47
27/02/2026;69,53;13,53
02/03/2026;69,75;13,49
03/03/2026;69,98;13,28
04/03/2026;70,23;13,46
05/03/2026;70,24;13,30
06/03/2026;70,56;13,44
09/03/2026;70,63;13,66
10/03/2026;71,09;13,77
11/03/2026;71,32;13,81
12/03/2026;71,56;13,66
13/03/2026;71,98;13,55
16/03/2026;72,10;13,79
17/03/2026;72,02;13,83
18/03/2026;71,20;13,62
19/03/2026;71,63;13,74
20/03/2026;71,37;13,42
23/03/2026;71,25;13,61
24/03/2026;71,01;13,51
